departure_city,arrival_city,departure_station,arrival_station,travel_time,departure_coordinates,arrival_coordinates
Paris,Fleury-les-Aubrais,Paris Austerlitz,Les Aubrais,58,"48.8422850,2.36489100","47.9268010,1.90712900"
Fleury-les-Aubrais,Orléans,Les Aubrais,Orléans,4,"47.9268010,1.90712900","47.9078910,1.90424200"
Fleury-les-Aubrais,Blois,Les Aubrais,Blois - Chambord,22,"47.9268010,1.90712900","47.5854490,1.32375900"
Blois,Veuzain-sur-Loire,Blois - Chambord,Onzain - Chaumont-sur-Loire,8,"47.5854490,1.32375900","47.4920300,1.18609400"
Veuzain-sur-Loire,Amboise,Onzain - Chaumont-sur-Loire,Amboise,9,"47.4920300,1.18609400","47.4214690,0.98176700"
Amboise,Saint-Pierre-des-Corps,Amboise,Saint-Pierre-des-Corps,14,"47.4214690,0.98176700","47.3861400,0.72353900"
Saint-Pierre-des-Corps,Tours,Saint-Pierre-des-Corps,Tours,4,"47.3861400,0.72353900","47.3898750,0.69283600"
Tours,Saint-Pierre-des-Corps,Tours,Saint-Pierre-des-Corps,6,"47.3898750,0.69283600","47.3861400,0.72353900"
Saint-Pierre-des-Corps,Amboise,Saint-Pierre-des-Corps,Amboise,13,"47.3861400,0.72353900","47.4214690,0.98176700"
Amboise,Veuzain-sur-Loire,Amboise,Onzain - Chaumont-sur-Loire,9,"47.4214690,0.98176700","47.4920300,1.18609400"
Veuzain-sur-Loire,Blois,Onzain - Chaumont-sur-Loire,Blois - Chambord,10,"47.4920300,1.18609400","47.5854490,1.32375900"
Blois,Fleury-les-Aubrais,Blois - Chambord,Les Aubrais,25,"47.5854490,1.32375900","47.9268010,1.90712900"
Blois,Mer,Blois - Chambord,Mer,10,"47.5854490,1.32375900","47.7058940,1.50636300"
Mer,Beaugency,Mer,Beaugency,7,"47.7058940,1.50636300","47.7784040,1.62594400"
Beaugency,Meung-sur-Loire,Beaugency,Meung-sur-Loire,5,"47.7784040,1.62594400","47.8299540,1.69192100"
Meung-sur-Loire,Orléans,Meung-sur-Loire,Orléans,13,"47.8299540,1.69192100","47.9078910,1.90424200"
Meung-sur-Loire,Fleury-les-Aubrais,Meung-sur-Loire,Les Aubrais,10,"47.8299540,1.69192100","47.9268010,1.90712900"
Calais,Boulogne-sur-Mer,Calais Ville,Boulogne sur Mer,24,"50.9534660,1.85088500","50.7157930,1.60973600"
Boulogne-sur-Mer,Étaples,Boulogne sur Mer,Étaples - Le Touquet,14,"50.7157930,1.60973600","50.5170220,1.64190900"
Étaples,Rang-du-Fliers,Étaples - Le Touquet,Rang-du-Fliers - Verton - Berck,7,"50.5170220,1.64190900","50.4158450,1.64804800"
Rang-du-Fliers,Rue,Rang-du-Fliers - Verton - Berck,Rue,9,"50.4158450,1.64804800","50.2731470,1.67569700"
Rue,Noyelles-sur-Mer,Rue,Noyelles-sur-Mer,6,"50.2731470,1.67569700","50.1873050,1.70453000"
Noyelles-sur-Mer,Abbeville,Noyelles-sur-Mer,Abbeville,8,"50.1873050,1.70453000","50.1021750,1.82453800"
Abbeville,Amiens,Abbeville,Amiens,26,"50.1021750,1.82453800","49.8905840,2.30827700"
Amiens,Longueau,Amiens,Longueau,4,"49.8905840,2.30827700","49.8646780,2.34993700"
